2021-02-18 11:05:35:207  Method:C:\OrangeFreeSDK\OrangeSDKSmartDeployment\Win32\Debug\OrangeSDKSmartDeployCommand.exe 
2021-02-18 11:05:35:301  Method:res目录中文件未修改,不需要重新生成!
2021-02-18 11:07:55:675  Method:C:\OrangeFreeSDK\OrangeSDKSmartDeployment\Win32\Debug\OrangeSDKSmartDeployCommand.exe 
2021-02-18 11:07:55:691  Method:AndroidManifest.xml不存在,请先在Android平台编译Release并运行一次!
2021-02-18 11:08:18:165  Method:C:\OrangeFreeSDK\OrangeSDKSmartDeployment\Win32\Debug\OrangeSDKSmartDeployCommand.exe 
2021-02-18 11:08:18:181  Method:AndroidManifest.xml不存在,请先在Android平台编译Release并运行一次!
2021-02-18 11:10:40:992  Method:C:\OrangeFreeSDK\OrangeSDKSmartDeployment\Win32\Debug\OrangeSDKSmartDeployCommand.exe 
2021-02-18 11:10:41:086  Method:res目录中文件未修改,不需要重新生成!
2021-02-18 11:11:35:596  Method:C:\OrangeFreeSDK\OrangeSDKSmartDeployment\Win32\Debug\OrangeSDKSmartDeployCommand.exe 


2021-02-18 11:11:35:611  Method:存在临时文件C:\OrangeFreeSDK\Android图片视频选择器DVMediaSelector_V1_0_0\Android\Release\R_JAVA_TestDVMediaSelector-dexed.jar,已删除
2021-02-18 11:11:35:627  Method:coordinatorlayout-28.0.0_aar:准备生成R.java
2021-02-18 11:11:36:565  Method:coordinatorlayout-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-18 11:11:36:612  Method:coordinatorlayout-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-18 11:11:36:612  Method:support-compat-28.0.0_aar:准备生成R.java
2021-02-18 11:11:37:549  Method:support-compat-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-18 11:11:37:565  Method:support-compat-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-18 11:11:37:565  Method:support-media-compat-28.0.0_aar:准备生成R.java
2021-02-18 11:11:38:737  Method:support-media-compat-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-18 11:11:38:752  Method:support-media-compat-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-18 11:11:38:752  Method:appcompat-v7-28.0.0_aar:准备生成R.java
2021-02-18 11:11:39:893  Method:appcompat-v7-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-18 11:11:39:956  Method:appcompat-v7-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-18 11:11:39:956  Method:recyclerview-v7-28.0.0_aar:准备生成R.java
2021-02-18 11:11:41:340  Method:recyclerview-v7-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
