2021-02-19 11:33:39:604  Method:
2021-02-19 11:35:39:431  Method:C:\OrangeFreeSDK\OrangeSDKSmartDeployment\Win32\Debug\OrangeSDKHelper.exe 
2021-02-19 11:35:39:450  Method:生成R.jar:AndroidManifest.xml不存在,请先在Android平台编译Release并运行一次!
2021-02-19 11:38:09:637  Method:C:\OrangeFreeSDK\OrangeSDKSmartDeployment\Win32\Debug\OrangeSDKHelper.exe 
2021-02-19 11:38:09:652  Method:存在临时文件C:\OrangeFreeSDK\Android图片视频选择器DVMediaSelector_V1_0_0\Android\Release\R_JAVA_TestDVMediaSelector-dexed.jar,已删除
2021-02-19 11:38:09:677  Method:coordinatorlayout-28.0.0_aar:准备生成R.java
2021-02-19 11:38:11:592  Method:coordinatorlayout-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:38:11:646  Method:coordinatorlayout-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:38:11:646  Method:support-compat-28.0.0_aar:准备生成R.java
2021-02-19 11:38:14:351  Method:support-compat-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:38:14:436  Method:support-compat-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:38:14:436  Method:support-media-compat-28.0.0_aar:准备生成R.java
2021-02-19 11:38:17:388  Method:support-media-compat-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:38:17:442  Method:support-media-compat-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:38:17:442  Method:appcompat-v7-28.0.0_aar:准备生成R.java
2021-02-19 11:38:19:926  Method:appcompat-v7-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:38:20:057  Method:appcompat-v7-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:38:20:057  Method:recyclerview-v7-28.0.0_aar:准备生成R.java
2021-02-19 11:38:22:449  Method:recyclerview-v7-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:38:22:469  Method:recyclerview-v7-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:38:22:469  Method:qrcodecore:准备生成R.java
2021-02-19 11:38:24:896  Method:qrcodecore:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:38:25:118  Method:qrcodecore:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:38:25:118  Method:zbar:准备生成R.java
2021-02-19 11:38:27:169  Method:zbar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:38:29:372  Method:zbar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:38:29:372  Method:mediaselector-release_aar:准备生成R.java
2021-02-19 11:38:32:036  Method:mediaselector-release_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:39:10:811  Method:mediaselector-release_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:39:18:225  Method:工程文件中已经添加过该JarOrangeSDK_JarGen\TestDVMediaSelector\R_JAVA_TestDVMediaSelector.jar
2021-02-19 11:39:18:226  Method:生成R.jar:任务结束
2021-02-19 11:47:06:250  Method:C:\OrangeFreeSDK\OrangeSDKSmartDeployment\Win32\Debug\OrangeSDKHelper.exe 
2021-02-19 11:47:06:391  Method:生成R.jar:res目录中文件未修改,不需要重新生成!
2021-02-19 11:47:28:531  Method:C:\OrangeFreeSDK\OrangeSDKSmartDeployment\Win32\Debug\OrangeSDKHelper.exe 
2021-02-19 11:47:28:552  Method:存在临时文件C:\OrangeFreeSDK\Android图片视频选择器DVMediaSelector_V1_0_0\Android\Release\R_JAVA_TestDVMediaSelector-dexed.jar,已删除
2021-02-19 11:47:28:571  Method:coordinatorlayout-28.0.0_aar:准备生成R.java
2021-02-19 11:47:30:326  Method:coordinatorlayout-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:47:30:343  Method:coordinatorlayout-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:47:30:344  Method:support-compat-28.0.0_aar:准备生成R.java
2021-02-19 11:47:32:622  Method:support-compat-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:47:32:650  Method:support-compat-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:47:32:650  Method:support-media-compat-28.0.0_aar:准备生成R.java
2021-02-19 11:47:34:875  Method:support-media-compat-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:47:34:893  Method:support-media-compat-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:47:34:893  Method:appcompat-v7-28.0.0_aar:准备生成R.java
2021-02-19 11:47:36:902  Method:appcompat-v7-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:47:36:949  Method:appcompat-v7-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:47:36:949  Method:recyclerview-v7-28.0.0_aar:准备生成R.java
2021-02-19 11:47:39:424  Method:recyclerview-v7-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:47:39:443  Method:recyclerview-v7-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:47:39:443  Method:qrcodecore:准备生成R.java
2021-02-19 11:47:41:500  Method:qrcodecore:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:47:41:699  Method:qrcodecore:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:47:41:699  Method:zbar:准备生成R.java
2021-02-19 11:47:43:404  Method:zbar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:47:45:142  Method:zbar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:47:45:142  Method:mediaselector-release_aar:准备生成R.java
2021-02-19 11:47:46:973  Method:mediaselector-release_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:48:17:301  Method:mediaselector-release_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:48:26:177  Method:工程文件中已经添加过该JarOrangeSDK_JarGen\TestDVMediaSelector\R_JAVA_TestDVMediaSelector.jar
2021-02-19 11:48:26:181  Method:生成R.jar:任务结束
2021-02-19 11:50:20:981  Method:C:\OrangeFreeSDK\OrangeSDKSmartDeployment\Win32\Debug\OrangeSDKHelper.exe 
2021-02-19 11:50:21:099  Method:生成R.jar:res目录中文件未修改,不需要重新生成!
2021-02-19 11:51:24:081  Method:
2021-02-19 11:51:24:283  Method:生成R.jar:res目录中文件未修改,不需要重新生成!
2021-02-19 11:51:35:284  Method:
2021-02-19 11:51:35:414  Method:存在临时文件C:\OrangeFreeSDK\Android图片视频选择器DVMediaSelector_V1_0_0\Android\Release\R_JAVA_TestDVMediaSelector-dexed.jar,已删除
2021-02-19 11:51:35:473  Method:coordinatorlayout-28.0.0_aar:准备生成R.java
2021-02-19 11:51:37:111  Method:coordinatorlayout-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:51:37:132  Method:coordinatorlayout-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:51:37:134  Method:support-compat-28.0.0_aar:准备生成R.java
2021-02-19 11:51:38:671  Method:support-compat-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:51:38:700  Method:support-compat-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:51:38:702  Method:support-media-compat-28.0.0_aar:准备生成R.java
2021-02-19 11:51:40:394  Method:support-media-compat-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:51:40:437  Method:support-media-compat-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:51:40:443  Method:appcompat-v7-28.0.0_aar:准备生成R.java
2021-02-19 11:51:42:658  Method:appcompat-v7-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:51:42:804  Method:appcompat-v7-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:51:42:818  Method:recyclerview-v7-28.0.0_aar:准备生成R.java
2021-02-19 11:51:44:744  Method:recyclerview-v7-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:51:44:807  Method:recyclerview-v7-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:51:44:812  Method:qrcodecore:准备生成R.java
2021-02-19 11:51:46:705  Method:qrcodecore:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:51:46:809  Method:qrcodecore:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:51:46:812  Method:zbar:准备生成R.java
2021-02-19 11:51:48:667  Method:zbar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:51:50:375  Method:zbar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:51:50:377  Method:mediaselector-release_aar:准备生成R.java
2021-02-19 11:51:52:707  Method:mediaselector-release_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:52:24:045  Method:mediaselector-release_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:52:32:277  Method:工程文件中已经添加过该JarOrangeSDK_JarGen\TestDVMediaSelector\R_JAVA_TestDVMediaSelector.jar
2021-02-19 11:52:32:317  Method:生成R.jar:任务结束
2021-02-19 11:53:12:513  Method:C:\OrangeFreeSDK\OrangeSDKSmartDeployment\Win32\Debug\OrangeSDKHelper.exe 
2021-02-19 11:53:12:540  Method:存在临时文件C:\OrangeFreeSDK\Android图片视频选择器DVMediaSelector_V1_0_0\Android\Release\R_JAVA_TestDVMediaSelector-dexed.jar,已删除
2021-02-19 11:53:12:582  Method:coordinatorlayout-28.0.0_aar:准备生成R.java
2021-02-19 11:53:14:332  Method:coordinatorlayout-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:53:14:353  Method:coordinatorlayout-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:53:14:353  Method:support-compat-28.0.0_aar:准备生成R.java
2021-02-19 11:53:16:615  Method:support-compat-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:53:16:689  Method:support-compat-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:53:16:689  Method:support-media-compat-28.0.0_aar:准备生成R.java
2021-02-19 11:53:18:980  Method:support-media-compat-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:53:19:009  Method:support-media-compat-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:53:19:009  Method:appcompat-v7-28.0.0_aar:准备生成R.java
2021-02-19 11:53:21:132  Method:appcompat-v7-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:53:21:261  Method:appcompat-v7-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:53:21:262  Method:recyclerview-v7-28.0.0_aar:准备生成R.java
2021-02-19 11:53:23:560  Method:recyclerview-v7-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:53:23:578  Method:recyclerview-v7-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:53:23:578  Method:qrcodecore:准备生成R.java
2021-02-19 11:53:25:622  Method:qrcodecore:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-19 11:53:25:777  Method:qrcodecore:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-19 11:53:25:777  Method:zbar:准备生成R.java
2021-02-19 11:53:27:848  Method:zbar:准备根据aar包中的R.txt去除R.java中的重复资源定义
